dim,gate_a_anchor,gate_b_anchor,gate_a_minus_b_anchor
112,5.3797264421007185e-09,7.313918359841409e-10,4.6483346061165776e-09
113,3.909741863594718e-09,4.1833517205880355e-10,3.49140671929149e-09
114,8.83763062731191e-10,1.778268643448655e-10,7.059361983863255e-10
115,8.43642133929734e-09,2.3054813613754277e-10,8.2058733141821e-09
116,8.351391578287348e-09,5.216162918264544e-11,8.29922974787678e-09
117,4.540269937791663e-09,5.675712699826363e-08,-5.2216858392739596e-08
118,1.2460941167802275e-09,4.572306075423249e-11,1.2003710248009725e-09
119,1.0624421520333271e-07,1.3462954084886292e-09,1.0489792146017862e-07
120,5.209649955872919e-08,1.1261338386248099e-06,-1.0740372999862302e-06
121,1.5035187317380405e-08,0.07470815628767014,-0.07470814138650894
122,5.97185234596509e-09,9.208545925787348e-09,-3.2366935798222585e-09
123,0.016333887353539467,6.4702012423367705e-06,0.01632741652429104
124,0.003055536886677146,5.520953028081976e-09,0.0030555312987416983
125,5.067095685262757e-07,9.043912541528698e-06,-8.537203029845841e-06
126,9.285229680244811e-06,0.0684274435043335,-0.06841816008090973
127,0.0006255808402784169,6.816934910602868e-05,0.0005574114620685577
128,3.244071649532998e-06,1.1238575625682756e-09,3.242947741455282e-06
129,4.31739681516774e-05,7.313007586162712e-07,4.244266892783344e-05
130,0.00011280259059276432,1.028896076604724e-05,0.00010251362982671708
131,6.463707791226625e-08,6.136829711067548e-07,-5.49045921616198e-07
132,2.695213163761423e-09,1.6737956576307056e-09,1.0214175061307174e-09
133,3.3628757556414257e-09,6.005269614917097e-10,2.762348794149716e-09
134,4.2625561746945095e-08,4.751592452834075e-10,4.215040405597392e-08
135,3.0376647863761264e-09,3.285172966993599e-10,2.7091475729434933e-09
136,6.036533495290541e-09,7.705810389779799e-08,-7.102156729388298e-08
137,5.6204818577043625e-08,5.917231704621884e-10,5.561309635027101e-08
138,6.334999191892621e-09,9.57744883400835e-10,5.377254197469483e-09
139,4.325396041338081e-09,7.376879107567902e-10,3.5877081305812908e-09
140,1.124327408952297e-09,5.354365839593811e-10,5.888908249929159e-10
141,2.1319956911014515e-09,6.463058976891034e-10,1.485689793412348e-09
142,1.5057736169055147e-09,6.709068300914112e-10,8.348667868141035e-10
143,2.1294841445751445e-09,8.983004562423957e-09,-6.853520417848813e-09
144,1.2068146482135944e-08,1.6678290692961895e-10,1.1901363450306235e-08
145,1.0973113084844499e-08,6.311704492389936e-10,1.03419424135609e-08
146,2.6449793466554183e-09,2.716100243560504e-05,-2.7158357625012286e-05
147,1.499454214126672e-07,2.2450448966537806e-07,-7.455906825271086e-08
148,8.63899003888946e-07,1.2328360554647588e-09,8.626661838206928e-07
149,1.249918284429441e-07,1.3290837159729563e-05,-1.316584530286491e-05
150,4.3274383642710745e-05,0.0003234405303373933,-0.00028016616124659777
151,1.0797424065955852e-09,8.076036465354264e-06,-8.07495689514326e-06
152,0.000103077465610113,8.452172187389806e-05,1.8555743736214936e-05
153,1.660102166844979e-09,0.00010142818791791797,-0.00010142652899958193
154,7.516673213103786e-05,0.0006251038867048919,-0.0005499371327459812
155,5.59123873244971e-06,2.4984499759739265e-05,-1.9393261027289554e-05
156,1.764391163305845e-05,0.001739108469337225,-0.0017214645631611347
157,7.354901754297316e-06,1.2773776688845828e-05,-5.418874934548512e-06
158,5.031208161199174e-07,5.7493762142257765e-05,-5.69906405871734e-05
159,3.1604724881617585e-06,0.0023992888163775206,-0.002396128373220563
160,1.3084890504444502e-08,3.8892444820248784e-08,-2.58075552039827e-08
161,5.533115086109319e-07,5.7942812418332323e-05,-5.7389501307625324e-05
162,4.474983597901883e-06,1.5836361111354336e-09,4.473400167626096e-06
163,1.8671067891773419e-07,3.6696266025870727e-09,1.8304105253719172e-07
164,1.951153372203862e-08,1.5388003760108404e-08,4.123529961930217e-09
165,4.5189825215175006e-09,4.047938428897169e-09,4.710440926203319e-10
166,5.259226387721583e-09,6.898379090181095e-10,4.569388423192322e-09
167,2.5903303946250844e-09,1.6124505897163743e-10,2.4290853772868104e-09
168,1.1916467812511655e-09,7.300899884654655e-10,4.6155679278570005e-10
169,1.9712811383243434e-09,1.175502750694335e-10,1.8537308354993343e-09
170,1.3540969234782096e-08,3.0664021322124313e-10,1.3234329188094307e-08
171,3.0307434339960082e-09,2.332626314327513e-10,2.7974809135855594e-09
172,5.002553393751441e-07,1.2959444628535266e-10,5.001257363801415e-07
173,5.395297193899751e-06,1.671881189047042e-09,5.393625087890541e-06
174,2.4023214528767767e-09,5.378358764573932e-06,-5.3759563343191985e-06
175,3.461873347987421e-06,1.492315959694679e-08,3.446950131547055e-06
176,2.632217821485483e-08,5.879578566236887e-06,-5.853256425325526e-06
177,6.32199892436347e-09,9.023076472658431e-07,-8.959856359069818e-07
178,2.7049894768538252e-08,3.2038391509559005e-05,-3.201134313712828e-05
179,7.178915950589726e-08,4.627074758900562e-06,-4.55528561360552e-06
180,0.00038390516419894993,3.250194424708752e-07,0.00038358013262040913
181,0.0018465075409039855,5.299271651892923e-05,0.0017935148207470775
182,0.00016443277127109468,2.158899405912962e-06,0.00016227387823164463
183,7.827986223674088e-07,4.772342435899191e-06,-3.989543984062038e-06
184,0.0001612646592548117,1.2110345437577053e-07,0.00016114355821628124
185,1.955030359823695e-09,1.406073213416903e-08,-1.2105701330256124e-08
186,1.4840910012026143e-07,3.1006197787064593e-06,-2.9522107070079073e-06
187,5.471080385177629e-06,2.1386899788922165e-06,3.3323904062854126e-06
188,0.0004719026037491858,9.897905783873284e-07,0.00047091281157918274
189,9.241315638064407e-06,4.586445356835611e-06,4.654870281228796e-06
190,6.357101511866858e-09,4.488682758818641e-09,1.8684187530482177e-09
191,2.93543337193114e-07,5.598226834990783e-06,-5.304683327267412e-06
192,1.3182997463445645e-05,1.1596211768605258e-09,1.3181837857700884e-05
193,7.944486180022636e-10,4.887106275219821e-09,-4.09265776823986e-09
194,8.008739449394398e-09,1.2499953294664579e-09,6.758744230950242e-09
195,1.0218254020699646e-09,4.791417818061916e-10,5.42683620263773e-10
196,4.4252060349414535e-10,5.282546067242322e-10,-8.573400323008684e-11
197,8.79012196364215e-10,1.9442978338446437e-09,-1.0652856374804287e-09
198,8.438915344299858e-09,5.950824832900992e-10,7.843833138565515e-09
199,2.916049623991057e-09,9.216009067003483e-10,1.9944486062684064e-09
200,7.695566961452016e-10,2.1059695427538827e-05,-2.1058925995021127e-05
201,1.775178816387779e-06,3.3002536259374438e-09,1.7718786011755583e-06
202,0.00013132022286299616,9.829955160967074e-08,0.00013122192467562854
203,1.4446778777710279e-06,7.132390233977048e-09,1.4375455066328868e-06
204,6.056087045180902e-07,4.750340281134413e-07,1.3057467640464893e-07
205,5.924173819948919e-06,1.7900644300183899e-09,5.92238393437583e-06
206,1.1630626431724522e-05,1.0378219172935133e-08,1.1620248187682591e-05
207,2.5345386234221223e-08,0.0002504944277461618,-0.000250469078309834
208,3.353614010848105e-05,1.0945785106741823e-05,2.2590355001739226e-05
209,1.4897945220582187e-05,7.819489411531322e-08,1.4819750504102558e-05
210,9.147672972176224e-05,5.615977352135815e-05,3.531695620040409e-05
211,0.000981366029009223,0.00012810163025278598,0.0008532644133083522
212,0.005003537517040968,2.3957298253662884e-05,0.004979580175131559
213,1.6128971083162469e-06,0.0012564363423734903,-0.0012548234080895782
214,9.092482287087478e-06,0.009960485622286797,-0.009951393119990826
215,1.1639463082246948e-06,0.0019378579454496503,-0.0019366940250620246
216,5.940419214311987e-05,2.237959506601328e-06,5.716623127227649e-05
217,6.571671065103146e-07,6.825707259849878e-06,-6.168540039652726e-06
218,1.8754106349661015e-05,1.2310937336224015e-07,1.863099714682903e-05
219,3.5121196617637906e-08,3.417948701844864e-10,3.4779400692741547e-08
220,7.923221710370854e-05,2.2629127738316157e-10,7.92319915490225e-05
221,3.953618321617114e-09,1.5223958760302025e-09,2.431222334564609e-09
222,9.415992430206188e-10,9.397235073427268e-11,8.476269131030278e-10
223,2.84879297929308e-09,1.6361818844234932e-10,2.6851747492173672e-09
224,1.2988538244940173e-08,6.060582591338459e-10,1.2382479930295176e-08
225,6.63141264123368e-10,2.494612849623934e-10,4.1367997916097465e-10
226,2.79199952046838e-08,2.323191222730614e-10,2.7687676151799678e-08
227,6.110459915831257e-10,3.8029743243406244e-10,2.3074855914906323e-10
228,9.131934652906182e-10,2.932648346387623e-09,-2.0194548255858535e-09
229,3.5952887333934314e-09,1.2501623070093615e-09,2.3451263153617674e-09
230,1.962544615707884e-08,2.3385662473174307e-07,-2.1423117857466423e-07
231,0.00014132620708551258,1.2209979693977857e-08,0.00014131399802863598
232,3.9243335777428e-05,3.983509078153702e-09,3.9239352190634236e-05
233,1.5778960005263798e-07,8.943645268821854e-10,1.5689523991113674e-07
234,1.3816136743116658e-05,7.849276784099857e-10,1.3815351849189028e-05
235,7.489397103199735e-05,3.729347386460802e-10,7.489359995815903e-05
236,0.00020640082948375493,3.29435003720846e-08,0.0002063678839476779
237,3.728494903043611e-06,4.5079531219016644e-09,3.7239869925542735e-06
238,0.00011578953854041174,0.0008354167221114039,-0.0007196271908469498
239,8.727842214284465e-06,6.705240593873896e-07,8.057318154897075e-06
240,1.1167248885612935e-06,5.550535586706928e-10,1.1161698694195366e-06
241,0.0029331811238080263,2.4720660007915285e-07,0.002932933857664466
242,2.1050452048143597e-08,1.5626864247053618e-09,1.9487766067527446e-08
243,1.1121323417739859e-08,2.7829167859039217e-09,8.338406409791332e-09
244,0.0001041175055433996,7.438939792336896e-05,2.972810762003064e-05
245,7.211204501800239e-05,0.00010768212814582512,-3.557008312782273e-05
246,8.047534356592223e-05,9.178793192177181e-08,8.03835573606193e-05
247,1.6312623074554722e-06,3.5687228172598395e-10,1.630905444471864e-06
248,6.072205360396765e-05,2.9089533559734093e-10,6.0721762565663084e-05
249,0.0010242416756227612,1.4611660492658274e-10,0.0010242415592074394
250,3.881617693934913e-09,1.434006385858666e-10,3.73821684718223e-09
251,7.864909834509604e-10,3.3170275415272954e-09,-2.5305366690986375e-09
252,7.156292447518808e-09,1.737797405976238e-10,6.982512790187911e-09
253,5.1954769375583965e-09,3.5859309965857733e-10,4.836883782388668e-09
254,2.108134111722393e-09,1.8424505254799328e-09,2.6568358624246e-10
255,1.7313253053430344e-08,1.2897181933535506e-10,1.718428066510569e-08
256,2.2277090465649962e-06,1.886611812551564e-06,3.4109723401343217e-07
257,2.26165983718829e-08,2.8601327972666013e-09,1.9756464908482485e-08
258,2.530569247483072e-07,2.985256486454091e-10,2.527584115341597e-07
259,2.6141941944501923e-09,3.004137383300076e-08,-2.742718052672899e-08
260,0.0018270657164976,4.037495615616393e-10,0.0018270653672516346
261,1.193789733733297e-09,0.0012362200068309903,-0.001236218842677772
262,1.0660197169443109e-09,3.382408613106236e-05,-3.382302020327188e-05
263,0.0012615718878805637,5.196310581823127e-08,0.001261519966647029
264,0.002713712863624096,1.8677599655347876e-05,0.0026950351893901825
265,0.0046014850959181786,6.737444346072152e-05,0.004534110426902771
266,0.00018122501205652952,6.957495202186692e-07,0.00018052925588563085
267,8.966108907770831e-06,0.000776249507907778,-0.0007672833744436502
268,0.0006066790665499866,3.1846518595557427e-06,0.000603494409006089
269,6.66282005568064e-07,0.002693870337679982,-0.002693203976377845
270,0.00555972708389163,1.8541388158155314e-07,0.005559541750699282
271,0.00014568353071808815,4.645766864541656e-07,0.00014521896082442254
272,2.8626786843233276e-06,1.1609778084675781e-05,-8.747099855099805e-06
273,0.0004944767570123076,2.2629735667578643e-06,0.0004922137595713139
274,6.110184358476545e-09,7.913041031315515e-07,-7.851939471947844e-07
275,3.079457355781301e-09,2.126399976987159e-06,-2.1233204279269557e-06
276,1.3574710244768085e-09,7.90205376688391e-05,-7.901917706476524e-05
277,1.091735884983791e-05,8.261964445921421e-10,1.09165330286487e-05
278,2.3331401255433093e-09,8.523382555303272e-10,1.4808019255241334e-09
279,2.9717492910918963e-09,3.3678175803686372e-09,-3.9606828927674087e-10
280,3.79336428935062e-09,3.8188710527187197e-10,3.4114771008120215e-09
281,9.496365471761692e-09,1.5082646243058662e-10,9.345539453420315e-09
282,1.1161104929158228e-08,5.869551955584029e-09,5.291552973574198e-09
283,6.2879776940860665e-09,2.1782319004071127e-10,6.07015460118987e-09
284,8.702595089005172e-09,2.5865259090096515e-07,-2.499500055819226e-07
285,2.307953650415584e-07,8.87155793272143e-10,2.2990820980339777e-07
286,0.00012336933286860585,8.44364755892002e-09,0.0001233608927577734
287,9.349184324491944e-07,2.9318134031619536e-10,9.346252340947103e-07
288,4.4262021825502984e-10,1.4965838090574834e-05,-1.4965395166655071e-05
289,0.003226714674383402,2.9608276941317513e-10,0.0032267144415527582
290,0.00016342005983460695,2.4259283470939863e-09,0.0001634176296647638
291,0.07973042130470276,6.573586688318755e-07,0.07972976565361023
292,8.390398579649627e-05,7.054222351143835e-06,7.684976299060509e-05
293,0.00048359911306761205,0.00012973778939340264,0.0003538613091222942
294,6.053505785530433e-07,0.0001739726576488465,-0.00017336731252726167
295,0.00016064237570390105,2.2230575780213258e-07,0.0001604200660949573
296,2.942935680039227e-06,0.00010851623665075749,-0.00010557330097071826
297,3.615408331825165e-06,0.015640152618288994,-0.015636537224054337
298,2.2907513994141482e-05,0.02819320745766163,-0.028170300647616386
299,0.0010301049333065748,1.7542641117529456e-08,0.001030087354592979
300,0.00012640340719372034,0.00011952164641115814,6.881760782562196e-06
301,0.0018466933397576213,5.9141384554095566e-05,0.00178755191154778
302,0.00037003675242885947,5.236950784137662e-08,0.0003699843946378678
303,3.040355878169976e-08,0.0003539077879395336,-0.0003538773744367063
304,0.00030665876693092287,4.937191211418224e-10,0.0003066582721658051
305,1.3487781416188227e-06,1.9933914519043583e-09,1.3467847566062119e-06
306,1.1146547018725528e-09,5.32666966091e-10,5.819877357815528e-10
307,2.7000601754423315e-09,7.055762085705908e-10,1.9944839113605894e-09
308,8.274177787370718e-09,4.1581979526306156e-10,7.85835840844129e-09
309,9.481158080859586e-10,6.475582847720318e-10,3.005575233139268e-10
310,1.2675442029319584e-08,9.101674969258511e-10,1.1765274976482942e-08
311,7.140566253838188e-07,1.4557888228239335e-10,7.139110493881162e-07
312,5.574836592359134e-09,1.709075658773429e-09,3.865761044608007e-09
313,2.1070245548315825e-09,2.3781382196830236e-07,-2.3570679275053408e-07
314,1.4784531376932364e-09,5.237368168309331e-05,-5.237220466369763e-05
315,7.93390131370586e-10,0.007161262910813093,-0.007161261979490519
316,5.011412951283489e-10,0.003139867214486003,-0.0031398667488247156
317,8.029311437951492e-09,0.0015974427806213498,-0.0015974347479641438
318,6.734362978022546e-05,0.00027079135179519653,-0.00020344772201497108
319,0.0146146509796381,1.2808353488935609e-08,0.014614637941122055
320,0.00025506250676698983,0.010663928464055061,-0.010408866219222546
321,1.5608475223416463e-07,0.014987136237323284,-0.014986979775130749
322,1.5131702468806907e-07,1.999247878359256e-09,1.4931777059246087e-07
323,8.375388460990507e-06,1.5018910914932349e-07,8.225199053413235e-06
324,5.233147930994164e-06,3.790069058595691e-07,4.854141025134595e-06
325,5.562686419580132e-05,1.7915317584993318e-07,5.5447711929446086e-05
326,4.32827782503864e-08,5.327213330019731e-06,-5.283930477162357e-06
327,9.533479897072539e-05,2.578732960500929e-07,9.50769244809635e-05
328,0.0001268402993446216,1.6271871572826058e-05,0.00011056842777179554
329,7.745191710206711e-10,1.6240725017269142e-05,-1.623995012778323e-05
330,2.3754913854645565e-05,4.725538182981381e-09,2.3750188120175153e-05
331,2.7995396223445823e-08,4.693861965776591e-10,2.752600991584586e-08
332,1.3996885172673501e-05,3.1699691760422866e-09,1.3993715583637822e-05
333,4.461506719621866e-09,8.007709495494453e-10,3.6607357145612696e-09
334,4.489463467649557e-09,1.661063925295636e-10,4.323357227775659e-09
335,7.388019085396991e-10,6.16532658259672e-11,6.771486704693075e-10
336,6.118405782018499e-09,6.373255256875154e-10,5.4810804783755884e-09
337,6.939372632075447e-09,1.7954800146657846e-10,6.759824699997807e-09
338,1.645940272965163e-08,1.9427472131017254e-10,1.626512791119694e-08
339,1.0064156619193909e-08,3.4299260653902763e-10,9.721164317966213e-09
340,2.506624685594261e-09,4.888996954832692e-06,-4.8864903874346055e-06
341,0.004422880709171295,8.812783280909287e-10,0.0044228797778487206
342,0.0004110601730644703,7.630615250775463e-09,0.0004110525478608906
343,1.1762692793126917e-06,3.307681906150606e-10,1.1759385643017595e-06
344,0.005422135815024376,1.224825019185971e-09,0.005422134418040514
345,0.0010651098564267159,1.863999088413948e-08,0.0010650912299752235
346,0.09122274816036224,4.830942089029122e-06,0.09121792018413544
347,1.824264290917199e-05,0.0011851018061861396,-0.0011668591760098934
348,1.4240324475167654e-08,4.7186283325117984e-08,-3.294595884995033e-08
349,2.01153302348267e-10,2.149716010535485e-06,-2.149514784832718e-06
350,0.05912429094314575,0.0004156219947617501,0.05870866775512695
351,0.016652312129735947,6.216841370587645e-07,0.016651690006256104
352,4.655628060845629e-07,6.1018439737381414e-05,-6.0552876675501466e-05
353,7.442862170137232e-06,6.6857555793831125e-06,7.571065907541197e-07
354,1.016287842503516e-05,0.00024211237905547023,-0.00023194949608296156
355,1.2984958175366046e-06,1.3210700977595025e-08,1.2852850659328396e-06
356,1.437196260667406e-05,1.085371792441947e-07,1.4263425327953883e-05
357,0.0003076708526350558,1.524448833833958e-07,0.0003075184067711234
358,0.00013575830962508917,2.749369798493717e-07,0.0001354833657387644
359,1.808026439675814e-07,1.3000307035326841e-06,-1.119228045354248e-06
360,3.069952470013959e-08,9.06732022798451e-09,2.163220358397666e-08
361,1.5674183062586167e-09,2.3257937242782134e-10,1.3348389060752197e-09
362,1.7949240316283976e-08,9.561333946805917e-10,1.6993107365692595e-08
363,1.7745159786031195e-09,8.836616993690427e-10,8.908542792340768e-10
364,1.1702376845335039e-09,1.8745184571233864e-10,9.82785852698953e-10
365,6.162027554879046e-10,4.537098197143763e-10,1.624929357735283e-10
366,2.4621739314056867e-08,1.479459554865059e-09,2.3142279204080296e-08
367,3.6332241393211007e-07,1.4462304687157257e-09,3.6187617524774396e-07
368,4.337465497883386e-09,1.6016077353242508e-08,-1.1678611855359122e-08
369,3.1011717638307346e-09,5.78578863041912e-07,-5.754777134825417e-07
370,9.94614279825612e-10,9.410687507038773e-11,9.005073908774364e-10
371,5.98156546516293e-09,7.784971001179031e-10,5.2030681985115734e-09
372,9.383577889821026e-06,4.648555113817565e-05,-3.710197415784933e-05
373,0.0003878985589835793,2.8754826075783058e-08,0.000387869804399088
374,0.0013509072596207261,7.32764078748005e-07,0.0013501745415851474
375,7.191308395704255e-05,1.789956911579793e-07,7.173408812377602e-05
376,2.0010481875942787e-06,3.1227882502093962e-09,1.9979254375357414e-06
377,0.0003572650603018701,2.604142146367394e-08,0.00035723901237361133
378,8.625114844562631e-08,0.00022435701976064593,-0.0002242707705590874
379,0.006822999566793442,1.574775509993742e-08,0.006822983734309673
380,3.981664331575985e-09,0.00015458976849913597,-0.0001545857812743634
381,2.3604896341566928e-05,1.820393299567513e-05,5.400963345891796e-06
382,3.4354059152974514e-07,3.736061444215011e-06,-3.392520738998428e-06
383,8.25943828886011e-08,4.482591187127127e-09,7.811178903693872e-08
384,3.1173992738331435e-06,2.7049232812714763e-05,-2.3931834221002646e-05
385,1.6708918337826617e-07,3.3177809655171586e-07,-1.646889131734497e-07
386,3.0104433790256735e-07,1.5806366718607023e-05,-1.550532215333078e-05
387,3.3636407437143134e-08,2.4930635333930695e-09,3.1143343903750065e-08
